[2025-10-17 16:10:06,028] [WARNING] [runner.py:232:fetch_hostfile] Unable to find hostfile, will proceed with training with local resources only.
Unfreezing MM Vision Tower.....................: False
Unfreezing MM Vision Tower.....................: False
Downloading Model from https://www.modelscope.cn to directory: /home/huangwei/.cache/modelscope/hub/models/facebook/dinov3-convnext-large-pretrain-lvd1689m
Downloading Model from https://www.modelscope.cn to directory: /home/huangwei/.cache/modelscope/hub/models/facebook/dinov3-convnext-large-pretrain-lvd1689m
Downloading Model from https://www.modelscope.cn to directory: /home/huangwei/.cache/modelscope/hub/models/facebook/dinov3-convnext-large-pretrain-lvd1689m
the data path is ........................................ ./data/pretrain/filtered_data_compact.json
Downloading Model from https://www.modelscope.cn to directory: /home/huangwei/.cache/modelscope/hub/models/facebook/dinov3-convnext-large-pretrain-lvd1689m
the data path is ........................................ ./data/pretrain/filtered_data_compact.json
Formatting inputs...Skip in lazy mode
Checkpoint checkpoints-pretrain/bunny-phi-1.5-pretrain/checkpoint-1 missing trainer_state.json, training from scratch.
Formatting inputs...Skip in lazy mode
Checkpoint checkpoints-pretrain/bunny-phi-1.5-pretrain/checkpoint-1 missing trainer_state.json, training from scratch.
{'loss': 6.1242, 'grad_norm': 7.806786060333252, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 6.5082, 'grad_norm': 9.35998249053955, 'learning_rate': 5.33049040511727e-07, 'epoch': 0.0}
{'loss': 6.0639, 'grad_norm': 5.470307350158691, 'learning_rate': 1.066098081023454e-06, 'epoch': 0.0}
{'loss': 6.238, 'grad_norm': 26.494369506835938, 'learning_rate': 1.5991471215351813e-06, 'epoch': 0.0}
{'loss': 6.7713, 'grad_norm': 6.271267414093018, 'learning_rate': 2.132196162046908e-06, 'epoch': 0.0}
{'loss': 6.5299, 'grad_norm': 6.440335750579834, 'learning_rate': 2.6652452025586354e-06, 'epoch': 0.0}
{'loss': 6.7345, 'grad_norm': 8.123332977294922, 'learning_rate': 3.1982942430703625e-06, 'epoch': 0.0}
{'loss': 6.4526, 'grad_norm': 7.9159770011901855, 'learning_rate': 3.7313432835820897e-06, 'epoch': 0.0}
{'loss': 6.4637, 'grad_norm': 10.294981002807617, 'learning_rate': 4.264392324093816e-06, 'epoch': 0.0}
{'loss': 6.939, 'grad_norm': 33.692237854003906, 'learning_rate': 4.797441364605544e-06, 'epoch': 0.0}
{'loss': 6.6721, 'grad_norm': 11.085858345031738, 'learning_rate': 5.330490405117271e-06, 'epoch': 0.0}
{'loss': 6.9884, 'grad_norm': 16.192176818847656, 'learning_rate': 5.863539445628999e-06, 'epoch': 0.0}
{'loss': 6.5772, 'grad_norm': 12.953367233276367, 'learning_rate': 6.396588486140725e-06, 'epoch': 0.0}
{'loss': 6.2969, 'grad_norm': 6.9528608322143555, 'learning_rate': 6.929637526652452e-06, 'epoch': 0.0}
{'loss': 6.7637, 'grad_norm': 11.076169967651367, 'learning_rate': 7.462686567164179e-06, 'epoch': 0.0}
{'loss': 6.6148, 'grad_norm': 4.387959003448486, 'learning_rate': 7.995735607675907e-06, 'epoch': 0.0}
{'loss': 6.6601, 'grad_norm': 6.198019981384277, 'learning_rate': 8.528784648187633e-06, 'epoch': 0.0}
{'loss': 6.4065, 'grad_norm': 4.815106391906738, 'learning_rate': 9.061833688699359e-06, 'epoch': 0.0}
{'loss': 6.3809, 'grad_norm': 12.009177207946777, 'learning_rate': 9.594882729211089e-06, 'epoch': 0.0}
{'loss': 6.0246, 'grad_norm': 6.0213189125061035, 'learning_rate': 1.0127931769722815e-05, 'epoch': 0.0}
{'loss': 6.6438, 'grad_norm': 6.025280475616455, 'learning_rate': 1.0660980810234541e-05, 'epoch': 0.0}
{'loss': 6.4774, 'grad_norm': 24.294727325439453, 'learning_rate': 1.1194029850746268e-05, 'epoch': 0.0}
{'loss': 6.5756, 'grad_norm': 6.1390156745910645, 'learning_rate': 1.1727078891257997e-05, 'epoch': 0.0}
{'loss': 6.0185, 'grad_norm': 8.297428131103516, 'learning_rate': 1.2260127931769724e-05, 'epoch': 0.0}
{'loss': 6.4168, 'grad_norm': 11.353189468383789, 'learning_rate': 1.279317697228145e-05, 'epoch': 0.0}
{'loss': 6.6963, 'grad_norm': 9.794183731079102, 'learning_rate': 1.3326226012793176e-05, 'epoch': 0.0}
{'loss': 6.2276, 'grad_norm': 16.009490966796875, 'learning_rate': 1.3859275053304904e-05, 'epoch': 0.0}
{'loss': 6.1486, 'grad_norm': 7.787406921386719, 'learning_rate': 1.4392324093816632e-05, 'epoch': 0.0}
{'loss': 6.4953, 'grad_norm': 33.588104248046875, 'learning_rate': 1.4925373134328359e-05, 'epoch': 0.0}
{'loss': 6.1647, 'grad_norm': 6.276186466217041, 'learning_rate': 1.5458422174840083e-05, 'epoch': 0.0}
{'loss': 6.2915, 'grad_norm': 10.589287757873535, 'learning_rate': 1.5991471215351813e-05, 'epoch': 0.0}
{'loss': 6.3509, 'grad_norm': 38.34541702270508, 'learning_rate': 1.652452025586354e-05, 'epoch': 0.0}
{'loss': 6.3192, 'grad_norm': 9.91958236694336, 'learning_rate': 1.7057569296375266e-05, 'epoch': 0.0}
{'loss': 6.2854, 'grad_norm': 11.903549194335938, 'learning_rate': 1.7590618336886992e-05, 'epoch': 0.0}
{'loss': 5.8949, 'grad_norm': 5.442153453826904, 'learning_rate': 1.8123667377398718e-05, 'epoch': 0.0}
{'loss': 6.1865, 'grad_norm': 6.268496036529541, 'learning_rate': 1.8656716417910448e-05, 'epoch': 0.0}
{'loss': 6.1116, 'grad_norm': 22.850189208984375, 'learning_rate': 1.9189765458422178e-05, 'epoch': 0.0}
{'loss': 6.3692, 'grad_norm': 20.076454162597656, 'learning_rate': 1.9722814498933904e-05, 'epoch': 0.0}
{'loss': 5.9662, 'grad_norm': 7.496175289154053, 'learning_rate': 2.025586353944563e-05, 'epoch': 0.0}
{'loss': 6.4283, 'grad_norm': 6.066332817077637, 'learning_rate': 2.0788912579957357e-05, 'epoch': 0.0}
